suite_number,ship_date_kst,trans_date_utc_package,package_id,inner_package_id,profit_case,package_merchant,order_type,package_type,country_code,country_name,carrier,carrier_service,package_weight,dimension_weight,package_count,reference_type,goods_revenue_krw,goods_revenue_usd,warehouse_revenue_krw,warehouse_revenue_usd,shipping_revenue_krw,shipping_revenue_usd,profit_krw,profit_usd,storage_fee_usd,storage_fee_krw,request_photo_fee_usd,request_photo_fee_krw,repack_fee_usd,repack_fee_krw,bubble_wrap_fee_usd,bubble_wrap_fee_krw,vacuum_repack_fee_usd,vacuum_repack_fee_krw,plasticbox_fee_usd,plasticbox_fee_krw,remove_papertube_fee_usd,remove_papertube_fee_krw,inclusion_fee_usd,inclusion_fee_krw,bfm_extra_fee_usd,bfm_extra_fee_krw,receiving_fee_usd,receiving_fee_krw,package_extra_fee_usd,package_extra_fee_krw,shipping_fee_usd,shipping_fee_krw,customer_cost_krw,customer_cost_usd,original_cost_krw,original_cost_usd,fuel_surcharge_cost_krw,fuel_surcharge_cost_usd,marked_up_cost_krw,marked_up_cost_usd,origin_usd_krw_package,usd_krw_package
D7692,2026-01-08,2026-01-07,781506,0,1,Musicplant,WE_SHIP,SINGLE,CA,Canada,KOREAPOST,KPACKET,1600,2240,1,ASN,0,0,0,0,57593,40.99,13290,9.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.99,57593,57590,40.99,44300,31.53,0,0,13290,9.46,1448.50296,1405.047871
B4559,2026-01-08,2026-01-07,796517,0,1,Weverse Shop ,WE_SHIP,SINGLE,BR,Brazil,KOREAPOST,KPACKET,1300,1478,1,ASN,0,0,0,0,43458,30.93,10809,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.93,43458,46839,33.34,36030,25.64,0,0,10809,7.69,1448.50296,1405.047871
M5365,2026-01-08,2026-01-07,810876,0,1,X Seller,WE_SHIP,SINGLE,GB,United Kingdom,KOREAPOST,KPACKET,100,100,1,ASN,0,0,0,0,7517,5.35,2388,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,7517,10348,7.36,7960,5.67,0,0,2388,1.7,1448.50296,1405.047871
M5365,2026-01-08,2026-01-07,813234,0,1,X Seller,WE_SHIP,SINGLE,GB,United Kingdom,KOREAPOST,KPACKET,100,100,1,ASN,0,0,0,0,7517,5.35,2388,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,7517,10348,7.36,7960,5.67,0,0,2388,1.7,1448.50296,1405.047871
M5365,2026-01-08,2026-01-07,807097,0,1,X Seller,WE_SHIP,SINGLE,GB,United Kingdom,KOREAPOST,KPACKET,100,115,1,ASN,0,0,0,0,7517,5.35,2388,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,7517,10348,7.36,7960,5.67,0,0,2388,1.7,1448.50296,1405.047871
A1621,2026-01-08,2026-01-07,805256,0,1,22674,WE_SHIP,SINGLE,GB,United Kingdom,KOREAPOST,KPACKET,700,1469,1,ASN,0,0,0,0,39032,27.78,9006,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.78,39032,39026,27.78,30020,21.37,0,0,9006,6.41,1448.50296,1405.047871
N9399,2026-01-08,2026-01-07,813243,0,1,Cho Yoo Chan,WE_SHIP,SINGLE,SG,Singapore,KOREAPOST,KPACKET,100,100,1,ASN,0,0,0,0,6196,4.41,1785,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41,6196,7735,5.51,5950,4.23,0,0,1785,1.27,1448.50296,1405.047871
M1073,2026-01-08,2026-01-07,815833,0,1,fondee,WE_SHIP,SINGLE,JP,Japan,KOREAPOST,KPACKET,100,450,1,ASN,0,0,0,0,10819,7.7,2496,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,10819,10816,7.7,8320,5.92,0,0,2496,1.78,1448.50296,1405.047871
B8993,2026-01-08,2026-01-07,815859,0,1,Twitter,WE_SHIP,SINGLE,SG,Singapore,KOREAPOST,KPACKET,100,100,1,ASN,0,0,0,0,6196,4.41,1785,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41,6196,7735,5.51,5950,4.23,0,0,1785,1.27,1448.50296,1405.047871
J1958,2026-01-08,2026-01-07,816268,0,1,duck,WE_SHIP,SINGLE,JP,Japan,KOREAPOST,KPACKET,100,100,1,ASN,0,0,0,0,5986,4.26,1749,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26,5986,7579,5.39,5830,4.15,0,0,1749,1.24,1448.50296,1405.047871
O1038,2026-01-08,2026-01-07,816276,0,1,seungmin set 2,WE_SHIP,SINGLE,SG,Singapore,KOREAPOST,KPACKET,100,100,1,ASN,0,0,0,0,6196,4.41,1785,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41,6196,7735,5.51,5950,4.23,0,0,1785,1.27,1448.50296,1405.047871
O1038,2026-01-08,2026-01-07,816290,0,1,hyun and seung,WE_SHIP,SINGLE,SG,Singapore,KOREAPOST,KPACKET,100,100,1,ASN,0,0,0,0,6196,4.41,1785,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41,6196,7735,5.51,5950,4.23,0,0,1785,1.27,1448.50296,1405.047871
L9494,2026-01-08,2026-01-05,809654,0,1,null,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,800,1190,1,ASN,0,0,2099,1.5,27956,19.98,8549,6.11,0,0,1.5,2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.98,27956,27950,19.98,21500,15.37,0,0,6450,4.61,1442.479715,1399.205324
Q0168,2026-01-08,2026-01-06,788422,0,1,Weverse Shop,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,1300,2341,1,ASN,0,0,0,0,40295,28.71,9300,6.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.71,40295,40300,28.71,31000,22.09,0,0,9300,6.63,1446.929997,1403.522097
I1381,2026-01-08,2026-01-06,767512,0,1,Ktown4u,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,2700,2700,1,ASN,0,0,5614,4,56295,40.11,18604,13.26,4,5614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.11,56295,56290,40.11,43300,30.85,0,0,12990,9.26,1446.929997,1403.522097
I1381,2026-01-08,2026-01-06,794797,0,1,Ktown4u ,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,1600,3472,1,ASN,0,0,0,0,56295,40.11,12990,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.11,56295,56290,40.11,43300,30.85,0,0,12990,9.26,1446.929997,1403.522097
P2258,2026-01-08,2026-01-06,803938,0,1,MOFUN,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,500,3564,1,ASN,0,0,0,0,56295,40.11,12990,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.11,56295,56290,40.11,43300,30.85,0,0,12990,9.26,1446.929997,1403.522097
R2202,2026-01-08,2026-01-06,808988,0,1,Lauren Ashley Alexander,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,100,256,1,ASN,0,0,0,0,15733,11.21,3630,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.21,15733,15730,11.21,12100,8.62,0,0,3630,2.59,1446.929997,1403.522097
R2202,2026-01-08,2026-01-06,804757,0,1,Lauren Ashley Alexander,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,100,173,1,ASN,0,0,0,0,12870,9.17,2970,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.17,12870,12870,9.17,9900,7.05,0,0,2970,2.12,1446.929997,1403.522097
R2202,2026-01-08,2026-01-06,808137,0,1,Lauren Ashley Alexander,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,100,228,1,ASN,0,0,0,0,12870,9.17,2970,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.17,12870,12870,9.17,9900,7.05,0,0,2970,2.12,1446.929997,1403.522097
K8036,2026-01-08,2026-01-06,760323,0,1,null,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,300,486,1,ASN,0,0,31579,22.5,18849,13.43,35929,25.6,13,18246,1.5,2105,0,0,0,0,0,0,0,0,0,0,8,11228,0,0,0,0,0,0,13.43,18849,18850,13.43,14500,10.33,0,0,4350,3.1,1446.929997,1403.522097
K8036,2026-01-08,2026-01-06,781399,0,1,null,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,400,1040,1,ASN,0,0,2105,1.5,26386,18.8,8195,5.84,0,0,1.5,2105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,26386,26390,18.8,20300,14.46,0,0,6090,4.34,1446.929997,1403.522097
K8036,2026-01-08,2026-01-06,757944,0,1,null,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,300,478,1,ASN,0,0,45614,32.5,17291,12.32,49604,35.34,14,19649,1.5,2105,0,0,0,0,0,0,0,0,0,0,17,23860,0,0,0,0,0,0,12.32,17291,17290,12.32,13300,9.48,0,0,3990,2.84,1446.929997,1403.522097
K8036,2026-01-08,2026-01-06,768995,0,1,null,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,300,486,1,ASN,0,0,13333,9.5,18849,13.43,17683,12.6,0,0,1.5,2105,0,0,0,0,0,0,0,0,0,0,8,11228,0,0,0,0,0,0,13.43,18849,18850,13.43,14500,10.33,0,0,4350,3.1,1446.929997,1403.522097
P2752,2026-01-08,2026-01-07,811850,0,1,Poca market,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,100,454,1,ASN,0,0,0,0,17296,12.31,3990,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.31,17296,17290,12.31,13300,9.47,0,0,3990,2.84,1448.50296,1405.047871
N3158,2026-01-08,2026-01-07,778613,0,1,null,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,100,264,1,ASN,0,0,7728,5.5,15737,11.2,11358,8.08,0,0,1.5,2108,0,0,0,0,0,0,0,0,0,0,4,5620,0,0,0,0,0,0,11.2,15737,15730,11.2,12100,8.61,0,0,3630,2.58,1448.50296,1405.047871
N3158,2026-01-08,2026-01-07,778662,0,1,null,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,200,264,1,ASN,0,0,38639,27.5,15737,11.2,42269,30.08,0,0,1.5,2108,0,0,0,0,0,0,0,0,0,0,26,36531,0,0,0,0,0,0,11.2,15737,15730,11.2,12100,8.61,0,0,3630,2.58,1448.50296,1405.047871
N3158,2026-01-08,2026-01-07,772553,0,1,null,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,200,264,1,ASN,0,0,16158,11.5,15737,11.2,19788,14.08,0,0,1.5,2108,0,0,0,0,0,0,0,0,0,0,10,14050,0,0,0,0,0,0,11.2,15737,15730,11.2,12100,8.61,0,0,3630,2.58,1448.50296,1405.047871
P6656,2026-01-08,2026-01-07,811844,0,1,null,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,100,554,1,ASN,0,0,2108,1.5,18856,13.42,6458,4.6,0,0,1.5,2108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.42,18856,18850,13.42,14500,10.32,0,0,4350,3.1,1448.50296,1405.047871
C9807,2026-01-08,2026-01-07,768748,0,1,WEVERSE SEVENTEEN,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,1300,2621,1,ASN,0,0,5620,4,49275,35.07,16990,12.09,4,5620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.07,49275,49270,35.07,37900,26.97,0,0,11370,8.09,1448.50296,1405.047871
N1008,2026-01-08,2026-01-07,786977,0,1,Weverse Shop,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,1300,2442,1,ASN,0,0,0,0,49275,35.07,11370,8.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.07,49275,49270,35.07,37900,26.97,0,0,11370,8.09,1448.50296,1405.047871
A1621,2026-01-08,2026-01-07,804742,0,1,24126,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,100,151,1,ASN,0,0,0,0,12870,9.16,2970,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.16,12870,12870,9.16,9900,7.05,0,0,2970,2.11,1448.50296,1405.047871
A1621,2026-01-08,2026-01-07,806204,0,1,24063,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,700,800,1,ASN,0,0,0,0,23268,16.56,5370,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.56,23268,23270,16.56,17900,12.74,0,0,5370,3.82,1448.50296,1405.047871
A1621,2026-01-08,2026-01-07,806209,0,1,24039,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,700,800,1,ASN,0,0,0,0,23268,16.56,5370,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.56,23268,23270,16.56,17900,12.74,0,0,5370,3.82,1448.50296,1405.047871
A1621,2026-01-08,2026-01-07,806219,0,1,23979,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,700,800,1,ASN,0,0,0,0,23268,16.56,5370,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.56,23268,23270,16.56,17900,12.74,0,0,5370,3.82,1448.50296,1405.047871
A1621,2026-01-08,2026-01-07,806228,0,1,24068,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,700,800,1,ASN,0,0,0,0,23268,16.56,5370,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.56,23268,23270,16.56,17900,12.74,0,0,5370,3.82,1448.50296,1405.047871
A1621,2026-01-08,2026-01-07,806247,0,1,24033,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,700,800,1,ASN,0,0,0,0,23268,16.56,5370,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.56,23268,23270,16.56,17900,12.74,0,0,5370,3.82,1448.50296,1405.047871
A1621,2026-01-08,2026-01-07,806268,0,1,24071,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,700,800,1,ASN,0,0,0,0,23268,16.56,5370,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.56,23268,23270,16.56,17900,12.74,0,0,5370,3.82,1448.50296,1405.047871
A1621,2026-01-08,2026-01-07,806271,0,1,24009,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,700,800,1,ASN,0,0,0,0,23268,16.56,5370,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.56,23268,23270,16.56,17900,12.74,0,0,5370,3.82,1448.50296,1405.047871
A1621,2026-01-08,2026-01-07,806286,0,1,24090,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,700,800,1,ASN,0,0,0,0,23268,16.56,5370,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.56,23268,23270,16.56,17900,12.74,0,0,5370,3.82,1448.50296,1405.047871
A1621,2026-01-08,2026-01-07,806367,0,1,24022,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,700,700,1,ASN,0,0,0,0,23268,16.56,5370,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.56,23268,23270,16.56,17900,12.74,0,0,5370,3.82,1448.50296,1405.047871
A1621,2026-01-08,2026-01-07,806368,0,1,24061,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,700,832,1,ASN,0,0,0,0,23268,16.56,5370,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.56,23268,23270,16.56,17900,12.74,0,0,5370,3.82,1448.50296,1405.047871
A1621,2026-01-08,2026-01-07,806376,0,1,24128,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,700,800,1,ASN,0,0,0,0,23268,16.56,5370,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.56,23268,23270,16.56,17900,12.74,0,0,5370,3.82,1448.50296,1405.047871
A1621,2026-01-08,2026-01-07,806382,0,1,24156,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,700,800,1,ASN,0,0,0,0,23268,16.56,5370,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.56,23268,23270,16.56,17900,12.74,0,0,5370,3.82,1448.50296,1405.047871
A1621,2026-01-08,2026-01-07,806386,0,1,24164,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,700,800,1,ASN,0,0,0,0,23268,16.56,5370,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.56,23268,23270,16.56,17900,12.74,0,0,5370,3.82,1448.50296,1405.047871
G5020,2026-01-08,2026-01-07,812841,0,1,Poclanos,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,800,1901,1,ASN,0,0,0,0,36011,25.63,8310,5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.63,36011,36010,25.63,27700,19.71,0,0,8310,5.91,1448.50296,1405.047871
A1621,2026-01-08,2026-01-07,809263,0,1,23695,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,300,540,1,ASN,0,0,0,0,18856,13.42,4350,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.42,18856,18850,13.42,14500,10.32,0,0,4350,3.1,1448.50296,1405.047871
A1621,2026-01-08,2026-01-07,806249,0,1,24012,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,700,800,1,ASN,0,0,0,0,23268,16.56,5370,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.56,23268,23270,16.56,17900,12.74,0,0,5370,3.82,1448.50296,1405.047871
A1621,2026-01-08,2026-01-07,812285,0,1,24293,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,100,520,1,ASN,0,0,0,0,18856,13.42,4350,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.42,18856,18850,13.42,14500,10.32,0,0,4350,3.1,1448.50296,1405.047871
A1621,2026-01-08,2026-01-07,812901,0,1,24305,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,200,760,1,ASN,0,0,0,0,23268,16.56,5370,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.56,23268,23270,16.56,17900,12.74,0,0,5370,3.82,1448.50296,1405.047871
M1655,2026-01-08,2026-01-08,756241,0,1,WEVERSE SHOP,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,2400,2877,1,ASN,0,0,32328,23,49265,35.05,43698,31.09,23,32328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.05,49265,49270,35.05,37900,26.96,0,0,11370,8.09,1449.039995,1405.568795
O1089,2026-01-08,2026-01-07,812035,0,1,Apple Music,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,1400,2597,1,ASN,0,0,0,0,49275,35.07,11370,8.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.07,49275,49270,35.07,37900,26.97,0,0,11370,8.09,1448.50296,1405.047871
M1655,2026-01-08,2026-01-08,808912,0,1,WEVERSE,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,900,1021,1,ASN,0,0,0,0,26397,18.78,6450,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.78,26397,27950,19.89,21500,15.3,0,0,6450,4.59,1449.039995,1405.568795
R2202,2026-01-08,2026-01-08,813538,0,1,Lauren Ashley Alexander,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,300,1044,1,ASN,0,0,0,0,26397,18.78,6090,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.78,26397,26390,18.78,20300,14.44,0,0,6090,4.33,1449.039995,1405.568795
R2202,2026-01-08,2026-01-08,804735,0,1,Lauren Ashley Alexander,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,100,144,1,ASN,0,0,0,0,12875,9.16,2970,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.16,12875,12870,9.16,9900,7.04,0,0,2970,2.11,1449.039995,1405.568795
L8241,2026-01-08,2026-01-08,814893,0,1,Daiso,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,400,739,1,ASN,0,0,0,0,23276,16.56,5370,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.56,23276,23270,16.56,17900,12.74,0,0,5370,3.82,1449.039995,1405.568795
J9079,2026-01-08,2026-01-08,817285,0,1,j-meeshop,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,500,1248,1,ASN,0,0,0,0,30164,21.46,6960,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.46,30164,30160,21.46,23200,16.51,0,0,6960,4.95,1449.039995,1405.568795
R3042,2025-10-01,2025-09-30,735039,0,1,Atomy Korea,WE_SHIP,SINGLE,QA,Qatar,DHL_EXPRESS,WORLDWIDE_NON_DOC,2800,2800,1,ASN,0,0,0,0,82169,60.46,14366,10.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.46,82169,82172,60.46,47886,35.23,19921,14.66,14366,10.57,1401.099077,1359.066105
B9696,2025-10-01,2025-09-29,732292,0,1,kickflip makestar,WE_SHIP,SINGLE,SG,Singapore,UPS,WORLDWIDE_SAVER,3200,3200,1,ASN,0,0,0,0,16723,12.27,6432,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.27,16723,16723,12.27,6390,4.69,3901,2.86,6432,4.72,1405.098806,1362.945842
M7556,2025-10-01,2025-09-29,732365,0,1,null,WE_SHIP,SINGLE,SG,Singapore,UPS,WORLDWIDE_SAVER,3100,3100,1,ASN,0,0,2726,2,16723,12.27,9157,6.72,0,0,2,2726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.27,16723,16723,12.27,6390,4.69,3901,2.86,6432,4.72,1405.098806,1362.945842
L9421,2025-10-01,2025-09-30,735638,0,1,Coupang,WE_SHIP,SINGLE,SG,Singapore,UPS,WORLDWIDE_SAVER,400,2142,1,ASN,0,0,0,0,16717,12.3,6432,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,16717,16723,12.3,6390,4.7,3901,2.87,6432,4.73,1401.099077,1359.066105
L9421,2025-10-01,2025-09-30,735797,0,1,Coupang,WE_SHIP,SINGLE,SG,Singapore,UPS,WORLDWIDE_SAVER,1200,5331,1,ASN,0,0,0,0,21759,16.01,8172,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.01,21759,21762,16.01,8438,6.21,5151,3.79,8172,6.01,1401.099077,1359.066105
L8241,2025-10-01,2025-09-30,735984,0,1,693894586150,WE_SHIP,SINGLE,SG,Singapore,UPS,WORLDWIDE_SAVER,2200,5609,1,ASN,0,0,0,0,23634,17.39,8820,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.39,23634,23637,17.39,9200,6.77,5617,4.13,8820,6.49,1401.099077,1359.066105
M7556,2025-10-01,2025-09-29,728790,0,1,null,WE_SHIP,SINGLE,SG,Singapore,UPS,WORLDWIDE_SAVER,2400,2400,1,ASN,0,0,2726,2,16723,12.27,9157,6.72,0,0,2,2726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.27,16723,16723,12.27,6390,4.69,3901,2.86,6432,4.72,1405.098806,1362.945842
L9421,2025-10-01,2025-09-30,735644,0,1,Coupang,WE_SHIP,SINGLE,SG,Singapore,UPS,WORLDWIDE_SAVER,3200,12580,1,ASN,0,0,0,0,50095,36.86,17959,13.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.86,50095,50092,36.86,19952,14.68,12181,8.96,17959,13.21,1401.099077,1359.066105
J6305,2025-10-01,2025-09-30,736134,0,1,ROCKFISH WEATHERWEAR,WE_SHIP,SINGLE,SG,Singapore,UPS,WORLDWIDE_SAVER,1300,3559,1,ASN,0,0,0,0,16717,12.3,6432,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,16717,16723,12.3,6390,4.7,3901,2.87,6432,4.73,1401.099077,1359.066105
O5172,2025-10-01,2025-09-30,735986,0,1,Gmarket ,WE_SHIP,SINGLE,SG,Singapore,UPS,WORLDWIDE_SAVER,7100,7100,1,ASN,0,0,0,0,29301,21.56,10778,7.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.56,29301,29306,21.56,11504,8.46,7023,5.17,10778,7.93,1401.099077,1359.066105
Q1478,2025-10-01,2025-09-30,707617,0,1,weverse shop,WE_SHIP,SINGLE,JP,Japan,UPS,WORLDWIDE_SAVER,1300,2645,1,ASN,0,0,0,0,16907,12.44,6495,4.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.44,16907,16907,12.44,6465,4.76,3947,2.9,6495,4.78,1401.099077,1359.066105
R1876,2025-10-01,2025-09-29,735186,0,1,Atomy,WE_SHIP,SINGLE,SG,Singapore,UPS,WORLDWIDE_SAVER,7600,7600,1,ASN,0,0,0,0,31239,22.92,11446,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.92,31239,31237,22.92,12289,9.02,7502,5.5,11446,8.4,1405.098806,1362.945842
C3788,2025-10-01,2025-09-29,735272,0,1,Weverse,WE_SHIP,SINGLE,HK,Hong Kong,UPS,WORLDWIDE_SAVER,1300,4586,1,ASN,0,0,0,0,18877,13.85,7175,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.85,18877,18876,13.85,7265,5.33,4435,3.25,7175,5.26,1405.098806,1362.945842
O5172,2025-10-01,2025-09-30,735988,0,1,Gmarket,WE_SHIP,SINGLE,SG,Singapore,UPS,WORLDWIDE_SAVER,5900,5900,1,ASN,0,0,0,0,23634,17.39,8820,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.39,23634,23637,17.39,9200,6.77,5617,4.13,8820,6.49,1401.099077,1359.066105
